ID_Orden,ID_Cliente,Cliente,Producto,Costo_Envio,Dias_Retraso,Estado_Envio,Fecha_Despacho,Monto_Total
3087,103,CLAUDIA GOMEZ,monitor 24 pulg,$1200.0,1,cancelado,01/04/2026,-50.0
3088,104,,"Monitor 24""",-5.0,4,Cancelado,10-04-2026,
3089,104,  marcos silva ,smartphone x,25.0,90,Cancelado,10-04-2026,450.5
3090,105,  gabriela sosa ,Smartphone X,  $ 40.0 ,1,,2026-04-10,
3091,102,  marcos silva ,Teclado Mecanico,10,90,Retrasado,10-04-2026,25000.0
3092,107,valeria rios,Laptop Gamer,10,1,cancelado,Sin_Fecha,
3093,106,gabriela sosa,monitor 24 pulg,10,90,retrasado,01/04/2026,1500.0
3094,110,  gabriela sosa ,,25.0,5,Entregado,2026-04-01,-50.0
3095,102,valeria rios,Teclado Mecanico,-5.0,0,,,
3096,103,,Laptop Gamer,$1200.0,90,entregado,2026-04-10,89.99
3097,103,CLAUDIA GOMEZ,Laptop Gamer,$1200.0,2,Retrasado,Sin_Fecha,1500.0
3098,104,  gabriela sosa ,Laptop Gamer,25.0,4,Cancelado,2026-04-01,1500.0
3099,109,  gabriela sosa ,Smartphone X,25.0,,Retrasado,01/04/2026,450.5
3100,101,valeria rios,,25.0,,Entregado,01/04/2026,25000.0
3101,101,gabriela sosa,"Monitor 24""",$1200.0,14,cancelado,01/04/2026,
3102,110,MARCOS SILVA,"Monitor 24""",$15.50,0,,01/04/2026,-50.0
3103,106,,Laptop Gamer,  $ 40.0 ,4,cancelado,,-50.0
3104,101,valeria rios,Smartphone X,,5,entregado,01/04/2026,1500.0
3105,108,  gabriela sosa ,smartphone x,25.0,4,retrasado,Sin_Fecha,-50.0
3106,101,  gabriela sosa ,Smartphone X,25.0,,Entregado,,
3107,106,MARCOS SILVA,Laptop Gamer,  $ 40.0 ,90,Entregado,,25000.0
3108,103,gabriela sosa,Teclado Mecanico,10,0,Cancelado,2026-04-10,89.99
3109,109,CLAUDIA GOMEZ,smartphone x,$1200.0,14,,,
3110,105,MARCOS SILVA,Smartphone X,  $ 40.0 ,-3,,Sin_Fecha,89.99
3111,107,  gabriela sosa ,,,0,Cancelado,,-50.0
3112,109,,smartphone x,10,2,,2026-04-10,
3113,110,,monitor 24 pulg,$15.50,2,,2026-04-10,450.5
3114,105,gabriela sosa,Smartphone X,25.0,4,retrasado,2026-04-01,450.5
3115,108,,Laptop Gamer,$1200.0,-3,Retrasado,Sin_Fecha,89.99
3116,110,,smartphone x,-5.0,1,Entregado,,89.99
3117,106,  marcos silva ,smartphone x,-5.0,4,Entregado,10-04-2026,120.0
3118,103,valeria rios,laptop gamer,25.0,,,2026-04-10,
3119,106,CLAUDIA GOMEZ,Teclado Mecanico,10,0,entregado,,-50.0
3120,109,  gabriela sosa ,Laptop Gamer,,,entregado,10-04-2026,450.5
3001,101,andres parra,laptop gamer,-5.0,14,Cancelado,2026-04-10,
3002,106,andres parra,,$1200.0,90,entregado,,
3003,102,,monitor 24 pulg,,4,Entregado,,-50.0
3004,109,esteban quito,monitor 24 pulg,-5.0,0,cancelado,2026-04-01,450.5
3005,102,gabriela sosa,"Monitor 24""",$1200.0,-3,cancelado,Sin_Fecha,120.0
3006,110,  gabriela sosa ,Laptop Gamer,25.0,14,cancelado,01/04/2026,
3007,104,  marcos silva ,laptop gamer,25.0,90,entregado,01/04/2026,-50.0
3008,101,CLAUDIA GOMEZ,"Monitor 24""",-5.0,5,entregado,01/04/2026,450.5
3009,106,esteban quito,Teclado Mecanico,,4,entregado,2026-04-10,1500.0
3010,109,gabriela sosa,monitor 24 pulg,25.0,0,Retrasado,2026-04-01,450.5
3011,109,  marcos silva ,monitor 24 pulg,25.0,5,Entregado,Sin_Fecha,25000.0
3012,101,  gabriela sosa ,Smartphone X,  $ 40.0 ,4,Retrasado,2026-04-10,1500.0
3013,106,  gabriela sosa ,,$15.50,5,entregado,,120.0
3014,103,  gabriela sosa ,laptop gamer,$1200.0,-3,entregado,10-04-2026,1500.0
3015,106,andres parra,laptop gamer,10,2,retrasado,10-04-2026,
